"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"hand painted decor",3,0,0,341741,"100","1","18","N/A"
"movie fan gift",0,0,0,81049,"","1","14","N/A"
"shot glass holder",36,40,111,1863,"86","1","17",1900
"indie horror merch",0,0,0,0,"","1","18","N/A"
"spooky desk decor",2,0,0,5937,"100","1","17","N/A"
"cult movie merch",0,0,0,832,"","1","16","N/A"
"horror movie prop",2,0,0,1367,"100","1","17","N/A"
"mini popcorn bucket",0,0,0,35,"","1","19","N/A"
"simon keyhchain",0,0,0,0,"","1","15","N/A"
"youtube movie",0,0,0,0,"","1","13","N/A"
"simon markiplier",0,0,0,0,"","1","16","N/A"
"streamer merch",0,0,0,829,"","1","14","N/A"
"scary tv show",0,0,0,0,"","1","13","N/A"
"horror fan",4,0,0,43146,"100","1","10",320
"markiplier horror",0,0,0,0,"","1","17","N/A"
"movie fan",1,0,0,103269,"100","1","9","N/A"
"new movie",0,0,0,21247,"","1","9","N/A"
"vintage bootleg",3,0,0,34235,"100","1","15","N/A"
"ryland grace",2,0,0,78,"80","1","12",9900
"unoffical merch",0,0,0,2,"","1","15","N/A"
"subtle fan merch",0,0,0,1224,"","1","16","N/A"
"water proof",1,0,0,28514,"100","1","11","N/A"
"simon sticker",0,0,0,394,"","1","13","N/A"
"markiplier simon",0,0,0,0,"","1","16","N/A"
"ava cosplay",0,0,0,0,"","1","11","N/A"
"markiplier photocard",1,0,0,0,"","1","20","N/A"
"simon photocard",0,0,0,0,"","1","15","N/A"
"youtubers",0,0,0,4961,"","1","9","N/A"
"the convict keychain",0,0,0,0,"","1","20","N/A"
"horror movie charm",0,0,0,1046,"","1","18","N/A"
"markiplier charm",0,0,0,0,"","1","16","N/A"
"markiplier acrylic",0,0,0,0,"","1","18","N/A"
"bloody keychain",0,0,0,366,"","1","15","N/A"
"linking keychain",1,0,0,140,"100","1","16","N/A"
"pony bead bracelet",17,14,82,5618,"100","1","18",880
"rave bracelet",4,0,0,6434,"100","1","13",1300
"kandi single",3,0,0,592,"100","1","12",1600
"markiplier kandi",0,0,0,0,"","1","16","N/A"
"foil print",3,0,0,25510,"100","1","10",2400
"specialty print",0,0,0,1459,"","1","15","N/A"
"zippered wallet",3,0,0,24666,"100","1","15","N/A"
"five nights at fred",0,0,0,105,"","1","19","N/A"
"i survived",3,0,0,10689,"100","1","10","N/A"
"miniature vhs",0,0,0,766,"","1","13","N/A"
"indie horror gift",0,0,0,0,"","1","17","N/A"
"red vhs tape",0,0,0,0,"","1","12","N/A"
"3d printed vhs",0,0,0,0,"","1","14","N/A"
"gaming memorabilia",23,33,143,1184,"86","1","18","N/A"
"submarine decor",1,0,0,2875,"100","1","15","N/A"
"desk diorama",1,0,0,0,"","1","12","N/A"
"retro horror game",0,0,0,0,"","1","17","N/A"
"video game sticker",2,0,0,23893,"100","1","18","N/A"
"markipler",0,0,0,0,"","1","9","N/A"
"markipler sticker",0,0,0,0,"","1","17","N/A"
"horror monster",0,0,0,51458,"","1","14","N/A"
"monster sculpture",3,0,0,5681,"100","1","17",260
"blood bucket",0,0,0,0,"","1","12","N/A"
"button set",2,0,0,41455,"100","1","10",140
"backpack pin",1,0,0,17290,"100","1","12",5400
"youtuber movie",0,0,0,0,"","1","14","N/A"
"video game movie",0,0,0,0,"","1","16","N/A"
"video game keychain",20,26,130,5663,"100","1","19",390
"game sticker",3,0,0,95646,"100","1","12","N/A"
"markiplier print",0,0,0,0,"","1","16","N/A"
"rockos modern life",19,0,0,246,"56","1","18",60500
"crying",0,0,0,16123,"","1","6","N/A"
"sad",2,0,0,46490,"100","1","3",201000
"bloodymary",0,0,0,0,"","1","10","N/A"
"mark fishbatch",0,0,0,0,"","1","14","N/A"
"scifi horror craft",0,0,0,0,"","1","18","N/A"
"video game pattern",1,0,0,10346,"100","1","18","N/A"
"submarine grid",0,0,0,0,"","1","14","N/A"
"diver suit diy",0,0,0,0,"","1","14","N/A"
"pixel astronaut art",0,0,0,0,"","1","19","N/A"
"horror movie stitch",0,0,0,1203,"","1","19","N/A"
"retro game chart",0,0,0,0,"","1","16","N/A"
"indie game design",0,0,0,182,"","1","17","N/A"
"digital file pdf",0,0,0,264143,"","1","16","N/A"
"cool font",3,0,0,4090,"100","1","9",135000
"horror movie poster",26,2,8,16448,"100","1","19",9900
"simon ava david",0,0,0,0,"","1","15","N/A"
"vintage stitch",0,0,0,170593,"","1","14","N/A"
"retro embroidery",1,0,0,43999,"100","1","16","N/A"
"stitch design",0,0,0,283861,"","1","13","N/A"
"machine stitch",0,0,0,88425,"","1","14","N/A"
"embroidery pack",18,26,144,15606,"100","1","15","N/A"
"embroidery set",2,0,0,71127,"100","1","14","N/A"
"digital stitch file",0,0,0,49708,"","1","19","N/A"
"markiplier tshirt",0,0,0,0,"","1","17","N/A"
"horror game merch",6,3,50,619,"100","1","17","N/A"
"laptop stickerbook",0,0,0,0,"","1","18","N/A"
"for sketchbook",0,0,0,32314,"","1","14","N/A"
"clipart chibby blood",0,0,0,0,"","1","20","N/A"
"the butcher merch",0,0,0,0,"","1","17","N/A"
"markiplier stickers",1,0,0,101,"100","1","19",50
"chibi sticker pack",0,0,0,3480,"","1","18","N/A"
"2 inch vinyl sticker",0,0,0,0,"","1","20","N/A"
"cute monster sticker",2,0,0,7198,"100","1","20","N/A"
"sricker",0,0,0,430,"","1","7","N/A"
"3d print models",11,13,118,58447,"100","1","15","N/A"
"monster stl",1,0,0,1425,"100","1","11","N/A"
"keychain stl",0,0,0,2744,"","1","12","N/A"
"collectible stl",0,0,0,20797,"","1","15","N/A"
"3d printable",3,0,0,57973,"100","1","12",823000
"3d model bundle",0,0,0,3320,"","1","15","N/A"
"digital stl files",1,0,0,68455,"100","1","17",10
"printable models",0,0,0,0,"","1","16","N/A"
