"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"housewarming games",302,295,98,15940,"","1","18",1000
"group games",301,293,97,30595,"100","1","11",8100
"english teacher",265,154,58,35225,"100","1","15",49500
"english teacher gift",288,282,98,27494,"99","1","20",390
"mom life shirt",263,369,140,205846,"100","1","14",260
"paper crafts",288,227,79,8309049,"100","1","12",40500
"bookworm sweatshirt",192,175,91,40264,"100","3","19",140
"reader",203,189,93,475940,"100","2","6",40500
"reading png",194,97,50,48173,"100","2","11",720
"bookstagram",213,261,123,28128,"100","2","11",2400
"gift for readers",243,306,126,357230,"100","2","16",8100
"bookworm gifts",197,189,96,188385,"100","2","14",720
"work mug",213,189,89,46350,"100","1","8",170
"summer games",194,191,98,53165,"100","1","12","N/A"
"summer activities",197,194,98,39283,"100","1","17",12100
"kids gift",230,170,74,6278954,"100","1","9","N/A"
"trendy halloween png",199,229,115,65213,"100","1","20","N/A"
"student teacher gift",243,290,119,152186,"100","1","20",1000
"iced coffee cup",216,210,97,70742,"100","1","15",9900
"chapter",194,145,75,67914,"100","1","7",165000
"coquette sweatshirt",221,195,88,131701,"100","1","19","N/A"
"comfy",204,0,0,200586,"100","1","5","N/A"
"librarian gift",113,104,92,130885,"100","2","14",210
"digital download png",130,22,17,2782306,"100","2","20","N/A"
"comfort colors tee",113,106,94,1570880,"100","2","18",3600
"tog",136,160,118,8921,"91","1","3",14800
"anne with an e",124,164,132,1730,"57","1","14",110000
"coffee lover shirt",158,184,116,135072,"100","1","18",70
"bookish bachelorette",133,189,142,1284,"49","1","20",0
"reader shirt",174,252,145,116451,"100","1","12",40
"wine lover gift",124,171,138,77764,"100","1","15","N/A"
"morally grey",147,133,90,8225,"87","1","12","N/A"
"water cup",179,195,109,406780,"100","1","9",9900
"drinking glass",150,161,107,625927,"100","1","14",18100
"baby bodysuit",183,10,5,370838,"100","1","13",0
"reading planner",114,110,96,34256,"100","1","15",390
"halloween 2025",144,215,149,68745,"100","1","14","N/A"
"bookish tote bag",149,171,115,17046,"100","1","16",2900
"booktok merch",107,99,93,34621,"100","2","13",110
"coworker mug",93,88,95,90429,"100","2","12",480
"shopping bag",53,68,128,148504,"100","1","12",27100
"silicone bead",46,60,130,73283,"100","1","13","N/A"
"coffee books shirt",93,0,0,10940,"100","1","18","N/A"
"introvert shirt",79,94,119,58787,"100","1","15",210
"editable template",51,65,127,1836829,"100","1","17",1600
"smut svg",46,63,137,3755,"96","1","8",70
"midwest sweatshirt",98,93,95,3862,"80","1","18",480
"read shirt",51,65,127,51841,"100","1","10",480
"librarian tshirt",107,1,1,64832,"100","1","16",70
"reading sticker",47,53,113,49939,"100","1","15",880
"from blood and ash",106,97,92,1344,"55","1","18",40500
"violet sorrengail",51,66,129,8330,"100","1","17",27100
"cute halloween png",108,97,90,160883,"100","1","18",260
"gifts for teacher",103,95,92,1493371,"100","1","17",12100
"bookish tshirt",108,97,90,117142,"100","1","14",2900
"party favor bags",109,106,97,221070,"100","1","16",4400
"dark romance tumbler",53,63,119,2943,"87","1","20",40
"lined journal",63,78,124,104554,"100","1","13",1300
"purple paws",101,21,21,8921,"97","1","11","N/A"
"victorian aesthetic",94,20,21,23393,"100","1","19","N/A"
"holiday apparel",44,64,145,240737,"100","1","15","N/A"
"reading log journal",108,101,94,11668,"100","1","19","N/A"
"freshie molds",103,93,90,19190,"100","1","13",1600
"frenchie",90,51,57,41872,"100","1","8","N/A"
"teacher apple shirt",44,63,143,13981,"100","1","19","N/A"
"coffee clipart",104,95,91,37074,"100","1","14",12100
"printable tracker",108,0,0,239808,"100","1","17","N/A"
"snake shirt",60,78,130,14817,"100","1","11",590
"dark academia shirt",108,17,16,31185,"100","1","19",110
"reader gift",10,2,20,357446,"100","8","11","N/A"
"enemies to lovers",24,16,67,8589,"100","7","17",9900
"booktok",0,0,0,116887,"","6","7",27100
"gift for reader",8,1,13,356709,"100","6","15",8100
"discussion questions",0,0,0,2685,"","5","20","N/A"
"bookworm shirt",0,0,0,94843,"","5","14",210
"one more chapter",0,0,0,22297,"","5","16",590
"reading sweatshirt",9,1,11,64239,"100","4","18",320
"bookish gifts",0,0,0,372973,"","4","13",4400
"gifts for readers",0,0,0,356709,"","4","17",8100
