"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"car sticker",2863,2658,93,0,"","1","11","N/A"
"personalized tumbler",2840,2940,104,0,"","1","20","N/A"
"mothers day shirt",2731,3144,115,0,"","2","17","N/A"
"purse charm",2485,2563,103,0,"","1","11","N/A"
"cap",2437,3057,125,0,"","1","3","N/A"
"vintage christmas",2052,1956,95,0,"","1","17","N/A"
"crewneck",1976,2019,102,0,"","1","8","N/A"
"custom photo shirt",1836,1908,104,0,"","3","18","N/A"
"rhinestone",1863,2254,121,0,"","1","10","N/A"
"glitter",1868,2420,130,0,"","1","7","N/A"
"sarcastic shirt",1716,2051,120,0,"","1","15","N/A"
"embroidery file",1722,2098,122,0,"","1","15","N/A"
"sublimation png",1628,1221,75,0,"","2","15","N/A"
"women shirt",1604,1668,104,0,"","1","11","N/A"
"shirt for women",1593,1522,96,0,"","1","15","N/A"
"custom picture frame",1520,1791,118,0,"","1","20","N/A"
"custom photo",1442,1721,119,0,"","1","12","N/A"
"mothers day png",1507,1542,102,0,"","1","15","N/A"
"custom decal",1477,1707,116,0,"","1","12","N/A"
"dxf",1376,1577,115,0,"","1","3","N/A"
"personalized shirt",1338,1372,103,0,"","2","18","N/A"
"cricut svg",1303,374,29,0,"","1","10","N/A"
"beaded keychain",1292,1389,108,0,"","1","15","N/A"
"girl nursery decor",1353,1370,101,0,"","1","18","N/A"
"custom name",1211,1137,94,0,"","2","11","N/A"
"svg files for cricut",1145,1620,141,0,"","1","20","N/A"
"custom crewneck",1179,1228,104,0,"","1","15","N/A"
"baby name sweater",985,1271,129,0,"","1","17","N/A"
"gifts for moms",961,1021,106,0,"","1","14","N/A"
"coquette png",993,1344,135,0,"","1","12","N/A"
"coffee lover gift",779,969,124,0,"","1","17","N/A"
