"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"valentine gift",3170,3362,106,1227386,"100","1","14","N/A"
"reading",3045,3589,118,720098,"100","3","7",301000
"mosaic",3024,3433,114,191664,"90","1","6",165000
"set",2953,4251,144,4969073,"100","1","3",165000
"reading journal",2814,2936,104,43378,"59","1","15",8100
"teacher appreciation",2613,2920,112,451989,"100","2","20",14800
"magnetic bookmark",2477,2738,111,21782,"47","3","17",9900
"personalized mug",2498,2557,102,436672,"100","1","16",2900
"stained glass art",2347,2947,126,227429,"99","1","17",9900
"dark academia decor",2344,2291,98,122385,"86","1","19",5400
"valentines day shirt",2315,3085,133,263769,"100","1","20",8100
"funny sticker",2298,2878,125,341950,"100","1","13",49500
"tumbler png",2118,2431,115,662340,"100","1","11",140
"custom bookmark",2053,2112,103,23483,"53","2","15",8100
"cottagecore decor",2010,2033,101,427700,"100","2","17",2900
"stained glass window",1919,2181,114,99809,"86","1","20",40500
"lapel pin",1910,2349,123,110394,"88","1","9",40500
"bookish shirt",1836,2150,117,159170,"97","6","13",2900
"handmade gift",1871,2112,113,2462067,"100","1","13",60500
"bookish merch",1756,1694,96,85221,"84","1","13",1900
"back to school gift",1706,1319,77,714654,"100","1","19",0
"skeleton",1648,2065,125,530396,"100","1","8",368000
"spooky",1602,2270,142,1775069,"100","1","6",40500
"comfort colors 1717",1573,1565,99,73966,"84","1","19",6600
"png bundle",1609,2104,131,769535,"100","1","10",50
"metal wall decor",1619,1862,115,506618,"100","1","16",5400
"reading shirt",1532,1432,93,162323,"100","8","13",480
"dark romance",1539,1573,102,52225,"77","3","12",22200
"embroidered crewneck",1550,1795,116,121292,"95","1","20",1000
"library decor",1453,1365,94,92312,"90","3","13",720
"printable stickers",1486,1501,101,354660,"100","1","18",12100
"gothic wall art",1461,1593,109,365267,"100","1","15",1000
"self inking stamp",1418,1567,111,22702,"60","1","17",14800
"boyfriend birthday",1324,1663,126,133517,"100","1","18",590
"custom name sign",1267,1083,85,233285,"100","1","16",1600
"mother day gift",1227,1656,135,1873416,"100","1","15",823000
"fall tshirt",1128,1174,104,686249,"100","1","11","N/A"
"spooky shirt",1148,1595,139,766483,"100","1","12","N/A"
"journal stickers",1160,1563,135,323963,"100","1","16",3600
"bookish png",1116,1162,104,40431,"78","3","11",70
"black cat art",1103,1188,108,180488,"100","1","13",1900
"watercolor clipart",978,1086,111,555354,"100","1","18",880
"cat painting",993,1142,115,82825,"96","1","12",6600
"pumpkin shirt",983,1205,123,515743,"100","1","13",2400
"leather bookmark",924,1130,122,9386,"50","3","16",2900
"glass cup",891,967,109,270549,"100","1","9",22200
"good girl",893,875,98,58224,"91","1","9",165000
"community",902,863,96,70930,"95","1","9",368000
"clipart bundle",903,842,93,519264,"100","1","14",140
"table decor",903,1062,118,715166,"100","1","11",6600
"bookish sweatshirt",778,923,119,73898,"99","2","18",1300
"funny frog shirt",788,1093,139,26076,"76","1","16",390
"reading nook decor",740,741,100,31981,"82","1","18",170
"gift for friends",694,811,117,593267,"100","2","16",12100
"librarian",715,1018,142,149976,"100","2","9",40500
"dark romance shirt",676,1005,149,13079,"64","1","18",90
"bundle png",733,1022,139,770498,"100","1","10","N/A"
"instant download",625,827,132,3673189,"100","1","16",260
"black cat shirt",614,833,136,118489,"100","1","15",1600
"duck shirt",648,751,116,66397,"100","1","10",1900
"santa svg",648,721,111,78864,"100","1","9","N/A"
"personalized sign",662,614,93,537650,"100","1","17",2400
"bookish gift",603,756,125,374362,"100","14","12",4400
"minimalist art",598,596,100,1262930,"100","1","14",5400
"coffin",516,529,103,53641,"100","1","6",49500
"funny hat",484,437,90,159437,"100","1","9",12100
"journaling supplies",501,540,108,891790,"100","1","19",5400
"college gift",497,471,95,301503,"100","1","12",0
"self love",483,424,88,226566,"100","1","9",14800
"cottagecore wall art",510,511,100,256045,"100","1","20",260
"bookish mug",479,592,124,23444,"84","4","11",6600
"cat mom shirt",437,502,115,101203,"100","2","13",720
"tassel",440,541,123,151902,"100","1","6","N/A"
"custom party favors",474,644,136,312425,"100","1","19",6600
